,dateSold,propertyType,lotAreaValue,address,daysOnZillow,price,listingDateTime,longitude,latitude,contingentListingType,listingStatus,zpid,imgSrc,livingArea,bathrooms,lotAreaUnit,country,currency,bedrooms,hasImage,listingSubType.is_newHome,listingSubType.is_openHouse,listingSubType.is_FSBA
0,,SINGLE_FAMILY,5227.2,"2707 S Carpenter Ave, Dallas, TX 75215",-1,399900,,,,,FOR_SALE,2067752269,https://photos.zillowstatic.com/fp/720a0ee159d6f7cd1e60e826c600021b-p_e.jpg,1889,2,sqft,USA,USD,3,True,True,True,
1,,SINGLE_FAMILY,5009.4,"706 Grambling Dr, Dallas, TX 75241",-1,189900,,-96.81353,32.65431,,FOR_SALE,69670062,https://photos.zillowstatic.com/fp/cb7ddb0ec3133a74660ea07be0b03b2d-p_e.jpg,1276,2,sqft,USA,USD,3,True,,,True
2,,SINGLE_FAMILY,8363.52,"5724 Lazy River Dr, Dallas, TX 75241",-1,359990,,-96.79329,32.678005,,FOR_SALE,26824177,https://photos.zillowstatic.com/fp/a6373583b881d8473674a04aa35c31bf-p_e.jpg,1735,2,sqft,USA,USD,4,True,True,True,
3,,SINGLE_FAMILY,7579.44,"8826 Bruton Rd, Dallas, TX 75217",-1,280000,,-96.67048,32.748386,,FOR_SALE,26799759,https://photos.zillowstatic.com/fp/536343ff35958883070366f8b3bd9a7b-p_e.jpg,2033,2,sqft,USA,USD,4,True,,,True
4,,SINGLE_FAMILY,9234.72,"1421 Autumn Leaves Trl, Dallas, TX 75241",-1,225000,,-96.80102,32.68043,,FOR_SALE,26776999,https://photos.zillowstatic.com/fp/84bca6463b7d6dc3eb8ed2d14aa3f14a-p_e.jpg,1746,2,sqft,USA,USD,3,True,,,True
5,,SINGLE_FAMILY,0.262,"2536 Dorrington Dr, Dallas, TX 75228",-1,500000,,-96.703064,32.801792,,FOR_SALE,26830458,https://photos.zillowstatic.com/fp/58992d114e311f8ce3f24fadc8228b2c-p_e.jpg,2223,3,acres,USA,USD,4,True,,,True
6,,SINGLE_FAMILY,7187.4,"4917 Berridge Ln, Dallas, TX 75227",-1,350000,,-96.69425,32.78228,,FOR_SALE,26905148,https://photos.zillowstatic.com/fp/94d4ed23fc5260588bea01e04706821d-p_e.jpg,1483,3,sqft,USA,USD,4,True,,True,True
7,,SINGLE_FAMILY,7753.68,"2404 Klondike Dr, Dallas, TX 75228",-1,278900,,-96.67546,32.818813,,FOR_SALE,26841428,https://photos.zillowstatic.com/fp/da3d8b4402925d29646d7e3480e7507a-p_e.jpg,1359,3,sqft,USA,USD,3,True,,,True
8,,SINGLE_FAMILY,10149.48,"3233 Leahy Dr, Dallas, TX 75229",-1,429000,,-96.8684,32.89638,,FOR_SALE,26808705,https://photos.zillowstatic.com/fp/2e705628b851f3528e97dd71004b6951-p_e.jpg,1589,2,sqft,USA,USD,3,True,,True,True
9,,SINGLE_FAMILY,5837.04,"2908 Dorris St, Dallas, TX 75215",-1,279900,,-96.7492,32.74252,,FOR_SALE,96529907,https://photos.zillowstatic.com/fp/a0af4e3b9418095cf689708793e4fc38-p_e.jpg,1420,2,sqft,USA,USD,3,True,True,,
