zpid,Mortgage Payment,Total Payments,Total Interest,Cash Required,Minimum Monthly Expenses,Monthly Cash Flow,Max Purhcase Price,Annual Yield (CoC ROI),Cap Rate
2067752269,13338.61,400158.32,80238.32,83979,13522.61,,,,
69670062,6334.09,190022.67,38102.67,39879,6772.67,-5653.37,21762.82,-170.12,4.3
26824177,12007.42,360222.54,72230.54,75597.9,12232.33,-11186.53,27015.67,-177.57,2.74
26799759,9339.36,280180.87,56180.87,58800,9807.36,-8583.06,24595.36,-175.16,3.24
26776999,7504.84,225145.34,45145.34,47250,7829.84,-6499.84,33915.59,-165.08,5.36
26830458,16677.43,500322.98,100322.98,105000,17707.02,-15747.02,31120.52,-179.97,2.23
26905148,11674.2,350226.09,70226.09,73500,12195.2,-10946.4,23527.3,-178.72,2.5
26841428,9302.67,279080.16,55960.16,58569,9755.42,-8549.32,24484.81,-175.16,3.24
26808705,14309.24,429277.12,86077.12,90090,15147.24,-13588.34,23268.72,-181,2.02
96529907,9336.03,280080.81,56160.81,58779,9472.36,-9206.36,1111.78,-187.95,0.56
26759613,630406.96,18912208.71,3792208.71,3969000,654807.79,-592810.19,1405221.03,-179.23,2.39
26798044,4002.58,120077.52,24077.52,25200,4241.08,-3261.78,24014.49,-155.32,7.41
26844776,8672.27,260167.95,52167.95,54600,9027.93,,,,
26688558,8668.93,260067.89,52147.89,54579,9067.68,-7843.38,27190.56,-172.45,3.81
26799319,5670.33,170109.81,34109.81,35700,5956.74,-5011.74,20933.35,-168.46,4.65
26717211,11674.17,350225.09,70225.89,73499.79,12139.92,,,,
26793084,8001.83,240054.97,48134.97,50379,8330,,,,
26703998,21347.11,640413.42,128413.42,134400,22362.86,,,,
26759343,99897.82,2996934.66,600934.66,628950,105727.41,-96529.41,122486.5,-184.17,1.35
26752251,40025.84,1200775.16,240775.16,252000,42079.34,-38382.64,57832.64,-182.77,1.64
26914721,9672.91,290187.33,58187.33,60900,10236.66,-8927.66,24181.25,-175.91,3.08
96530253,11504.09,345122.79,69202.79,72429,11664.43,,,,
26862722,6003.88,180116.27,36116.27,37800,6423.29,-5375.39,19805.33,-170.65,4.19
26869915,25649.89,769496.75,154296.75,161490,26441.97,-23637.77,71658.09,-175.65,3.14
67963765,7838.39,235151.8,47151.8,49350,8253.73,-7091.73,24234.35,-172.44,3.81
26878628,5837.1,175113.04,35113.04,36750,6148.77,-5172.97,21141.34,-168.91,4.55
96505172,9336.03,280080.81,56160.81,58779,9473.28,-9207.28,1077.43,-187.97,0.55
26767620,7338.07,220142.11,44142.11,46200,7636.49,-6586.49,24418.6,-171.08,4.1
26779641,8338.72,250161.49,50161.49,52500,8832.13,-7642.83,22331.2,-174.69,3.34
26678443,29986.02,899580.72,180380.72,188790,31410.86,-28589.16,48601.11,-181.72,1.86
26708016,14339.26,430177.7,86257.7,90279,14781.84,-12982.84,47085.21,-172.57,3.79
26785347,11674.2,350226.09,70226.09,73500,12338.04,,,,
96510106,12508.07,375242.24,75242.24,78750,12649.99,,,,
26681052,11307.3,339218.98,68018.98,71190,11882.47,-10202.47,37656.93,-171.98,3.91
26823794,6334.09,190022.67,38102.67,39879,6651.09,-5513.59,27001.31,-165.91,5.18
26764615,6300.73,189022.02,37902.02,39669,6605.9,-5607,22250.63,-169.61,4.41
26720752,7167.96,215038.82,43118.82,45129,7437.13,,,,
26723138,12007.75,360232.55,72232.55,75600,12340.67,-11223.47,25644.06,-178.15,2.61
26710683,20012.89,600386.58,120387.38,125999.79,20925.89,-18827.99,40657.49,-179.31,2.37
26831946,17327.85,519835.58,104235.58,109095,18360.27,-16612.37,23065.73,-182.73,1.65
