dateSold,propertyType,lotAreaValue,address,variableData,priceChange,zestimate,imgSrc,price,detailUrl,bedrooms,contingentListingType,longitude,latitude,listingStatus,zpid,rentZestimate,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,listingSubType.is_FSBA,listingSubType.is_openHouse
,SINGLE_FAMILY,3659.04,"3735 Sistine Mews, Dallas, TX 75236",,,396300.0,https://photos.zillowstatic.com/fp/fc0d197d9a0d99dd8558b7011f70f84f-p_e.jpg,399900,/homedetails/3735-Sistine-Mews-Dallas-TX-75236/96533066_zpid/,3,,-96.945656,32.696804,FOR_SALE,96533066,2891.0,6,3,2188,USA,USD,sqft,True,True,
,SINGLE_FAMILY,3484.8,"18405 Hemington Ct, Dallas, TX 75252",,,713900.0,https://photos.zillowstatic.com/fp/91195bd02a43bbe7568443e0ea94edd0-p_e.jpg,729000,/homedetails/18405-Hemington-Ct-Dallas-TX-75252/80050097_zpid/,3,,-96.79829,33.001644,FOR_SALE,80050097,3507.0,9,2,2044,USA,USD,sqft,True,True,
,SINGLE_FAMILY,8886.24,"9722 Burleson Dr, Dallas, TX 75243",,,474800.0,https://photos.zillowstatic.com/fp/c94b30efbeae227da06025d8091f2737-p_e.jpg,485000,/homedetails/9722-Burleson-Dr-Dallas-TX-75243/26888775_zpid/,4,,-96.72035,32.916985,FOR_SALE,26888775,3194.0,6,3,2414,USA,USD,sqft,True,True,
,SINGLE_FAMILY,2178.0,"18156 Frankford Lakes Cir, Dallas, TX 75252",,,498900.0,https://photos.zillowstatic.com/fp/b99f92509c216ae44fcfe3df02710e4f-p_e.jpg,509000,/homedetails/18156-Frankford-Lakes-Cir-Dallas-TX-75252/69632546_zpid/,2,,-96.799324,32.99961,FOR_SALE,69632546,2462.0,3,3,1764,USA,USD,sqft,True,True,
,SINGLE_FAMILY,5183.64,"2823 Colt Ln, Dallas, TX 75237",,,255500.0,https://photos.zillowstatic.com/fp/f8f11f5059ed46f9ebfaf29951179c03-p_e.jpg,259999,/homedetails/2823-Colt-Ln-Dallas-TX-75237/96520726_zpid/,3,,-96.86564,32.65634,FOR_SALE,96520726,1717.0,6,2,1178,USA,USD,sqft,True,True,
,SINGLE_FAMILY,5662.8,"2544 Sundance Ln, Dallas, TX 75287",,-11000.0,337800.0,https://photos.zillowstatic.com/fp/4717609adcb6081b81cd41a781b7dfdc-p_e.jpg,339000,/homedetails/2544-Sundance-Ln-Dallas-TX-75287/55172654_zpid/,3,,-96.87088,32.99525,FOR_SALE,55172654,2253.0,27,2,1403,USA,USD,sqft,True,True,
,SINGLE_FAMILY,7710.12,"5728 Russcrest Dr, Dallas, TX 75227",,,271000.0,https://photos.zillowstatic.com/fp/73d9fdd16fd3dc3b2941a84f83ed522c-p_e.jpg,280000,/homedetails/5728-Russcrest-Dr-Dallas-TX-75227/26905381_zpid/,2,,-96.70384,32.781868,FOR_SALE,26905381,1986.0,10,2,1472,USA,USD,sqft,True,True,
,SINGLE_FAMILY,1437.48,"9487 Olde Towne Row, Dallas, TX 75227",,,,https://photos.zillowstatic.com/fp/63177b81c747e066e7fad0deb90cf33b-p_e.jpg,115000,/homedetails/9487-Olde-Towne-Row-Dallas-TX-75227/26907675_zpid/,1,,-96.65868,32.75171,FOR_SALE,26907675,,23,2,870,USA,USD,sqft,True,True,
,SINGLE_FAMILY,5270.76,"5320 Eagle Heights Dr, Dallas, TX 75212",,,,https://photos.zillowstatic.com/fp/fa26d6944beca66dd7cbac58af707648-p_e.jpg,289000,/homedetails/5320-Eagle-Heights-Dr-Dallas-TX-75212/96498955_zpid/,3,,-96.906334,32.769756,FOR_SALE,96498955,,3,2,1136,USA,USD,sqft,True,True,
,SINGLE_FAMILY,6534.0,"18215 Meandering Way, Dallas, TX 75252",,,548800.0,https://photos.zillowstatic.com/fp/0e26e53a6ab70acd8b7bea59b8a8d1c4-p_e.jpg,560000,/homedetails/18215-Meandering-Way-Dallas-TX-75252/53096109_zpid/,3,,-96.78169,32.999653,FOR_SALE,53096109,2988.0,8,3,2564,USA,USD,sqft,True,True,
,SINGLE_FAMILY,7840.8,"4118 Brooktree Ln, Dallas, TX 75287",,-9000.0,440300.0,https://photos.zillowstatic.com/fp/39aae07cb2956f9a4cbce5bc4577db9a-p_e.jpg,450000,/homedetails/4118-Brooktree-Ln-Dallas-TX-75287/26586269_zpid/,3,,-96.839325,32.98793,FOR_SALE,26586269,3202.0,23,3,2022,USA,USD,sqft,True,True,
,SINGLE_FAMILY,0.32,"7335 Williamswood Dr, Dallas, TX 75252",,,692500.0,https://photos.zillowstatic.com/fp/5e51bc88db8f1777f5396c68cecef8e5-p_e.jpg,720000,/homedetails/7335-Williamswood-Dr-Dallas-TX-75252/26593019_zpid/,4,,-96.776344,32.995872,FOR_SALE,26593019,3666.0,16,3,2593,USA,USD,acres,True,True,
,SINGLE_FAMILY,7623.0,"815 Ranch Rd, Dallas, TX 75253",,,295200.0,https://photos.zillowstatic.com/fp/61a7105edac50d6e1017092406a11c2b-p_e.jpg,300000,/homedetails/815-Ranch-Rd-Dallas-TX-75253/122301054_zpid/,4,,-96.595764,32.692886,FOR_SALE,122301054,2066.0,11,2,1689,USA,USD,sqft,True,True,
,SINGLE_FAMILY,7623.0,"7634 Ashcrest Ln, Dallas, TX 75249",,,295000.0,https://photos.zillowstatic.com/fp/58081e7192310bae98dff8b961beb81c-p_e.jpg,299900,/homedetails/7634-Ashcrest-Ln-Dallas-TX-75249/26891609_zpid/,3,,-96.95676,32.645023,FOR_SALE,26891609,2073.0,5,2,1772,USA,USD,sqft,True,True,
,SINGLE_FAMILY,7623.0,"507 S Marlborough Ave, Dallas, TX 75208",,,681700.0,https://photos.zillowstatic.com/fp/8e5097df5dd3cd27851dd6026effd8e3-p_e.jpg,695000,/homedetails/507-S-Marlborough-Ave-Dallas-TX-75208/26712095_zpid/,4,,-96.851875,32.74102,FOR_SALE,26712095,4031.0,14,3,2486,USA,USD,sqft,True,True,
,SINGLE_FAMILY,5227.2,"18516 Shelton Way, Dallas, TX 75252",,,539200.0,https://photos.zillowstatic.com/fp/f2faca1bcf0d529097a5f63cb441d56f-p_e.jpg,550000,/homedetails/18516-Shelton-Way-Dallas-TX-75252/26637892_zpid/,4,,-96.79806,33.003662,FOR_SALE,26637892,2940.0,9,3,2344,USA,USD,sqft,True,True,
,SINGLE_FAMILY,6969.6,"3724 Vineyard Dr, Dallas, TX 75212",,-24000.0,370100.0,https://photos.zillowstatic.com/fp/e6934ff5b42e28a860cea7aeaae7ee64-p_e.jpg,375000,/homedetails/3724-Vineyard-Dr-Dallas-TX-75212/96519376_zpid/,3,,-96.87577,32.78755,FOR_SALE,96519376,2714.0,30,2,1723,USA,USD,sqft,True,True,
,SINGLE_FAMILY,6534.0,"18060 Kelly Blvd, Dallas, TX 75287",,,393300.0,https://photos.zillowstatic.com/fp/976debcbbb4b82fd21d9dd8814041d13-p_e.jpg,400000,/homedetails/18060-Kelly-Blvd-Dallas-TX-75287/27291929_zpid/,3,,-96.86361,32.99971,FOR_SALE,27291929,2158.0,3,2,1414,USA,USD,sqft,True,True,
,SINGLE_FAMILY,10558.944,"615 S Acres Dr, Dallas, TX 75217",,-40000.0,280000.0,https://photos.zillowstatic.com/fp/19eb48407494514cbfbaafdfbda24384-p_e.jpg,283000,/homedetails/615-S-Acres-Dr-Dallas-TX-75217/67963226_zpid/,4,,-96.63985,32.701584,FOR_SALE,67963226,2048.0,24,2,1842,USA,USD,sqft,True,True,
