zpid,Address,Price,IRR (unleveraged),IRR (leveraged),Cap Rate,Cash On Cash Return,Living Area (sqft),Lot Area (sqft),Bedrooms,Bathrooms
111962375,"401 Harris Dr, Austin, TX 78737",625000,3.6,9.23,1.41,16.71,2109,8799,3,2
70334755,"6316 Ken Caryl Dr, Austin, TX 78747",449950,3.51,8.57,1.38,16.36,2742,7274,4,3
70342452,"6712 Cornish Hen Ln, Austin, TX 78747",450000,3.17,7.26,1.16,15.26,2068,3659,3,3
111372165,"5640 Emma Thompson Way, Austin, TX 78747",469900,3.13,7.16,1.13,15.13,2240,8145,4,3
124839245,"10240 Crescendo Ln, Austin, TX 78747",430000,3.11,6.98,1.12,15.07,1527,6316,3,2
80107217,"5712 Zachary Scott St, Austin, TX 78747",475000,3.08,6.95,1.09,14.94,2520,5183,4,3
80104908,"3501 Sand Dunes Ave, Austin, TX 78744",450000,2.92,6.28,0.99,14.43,1699,4399,3,3
305433403,"7013 Spirit Hill Rd, Austin, TX 78744",390000,2.84,5.83,0.95,14.21,1013,4399,2,1
337141294,"12817 Brahmin Dr, Austin, TX 78724",445500,2.52,4.73,0.72,13.11,1430,6621,3,2
70339476,"1917 Shaker Trl, Austin, TX 78754",450000,2.47,4.57,0.69,12.96,1889,6926,3,2
83825311,"1325 Central Park Ct, Austin, TX 78745",650000,2.49,4.94,0.67,12.94,1514,3833,3,3
80095339,"2117 Tin Can Dr, Austin, TX 78754",455000,2.42,4.4,0.65,12.8,1421,6499,3,2
63395420,"2221 National Park Blvd, Austin, TX 78747",519000,2.39,4.39,0.62,12.66,2062,7971,3,2
145656190,"5321 Gooding Dr, Austin, TX 78744",529900,2.18,3.61,0.48,11.97,1920,4399,3,3
70338706,"12000 Lansdowne Rd, Austin, TX 78754",482000,2.18,3.52,0.48,11.98,2105,7344,3,2
70985166,"9308 Castle Pines Dr, Austin, TX 78717",700000,2.26,4.08,0.43,12.92,2279,7666,4,2
305428511,"3100 Tilmon Ln, Austin, TX 78725",530000,2.02,2.98,0.36,11.42,2371,6481,4,3
95019014,"13505 Oystercatcher Dr, Austin, TX 78729",559000,1.91,2.6,0.21,11.8,2186,4403,3,3
70354963,"13111 Kenswick Dr, Austin, TX 78753",669990,1.82,2.4,0.21,10.71,3107,7187,5,4
89653258,"11117 Old Quarry Rd, Austin, TX 78717",569900,1.81,2.26,0.14,11.48,1689,5662,3,2
