zpid,Address,Price,IRR (unleveraged),IRR (leveraged),Cap Rate,Cash On Cash Return,Living Area (sqft),Lot Area (sqft),Bedrooms,Bathrooms
96533066,"3735 Sistine Mews, Dallas, TX 75236",399900,5.45,5.93,2.82,8.53,2188,3659.0,3,3
80050097,"18405 Hemington Ct, Dallas, TX 75252",729000,3.21,2.0,1.3,5.46,2044,3484.0,3,2
26888775,"9722 Burleson Dr, Dallas, TX 75243",485000,4.84,4.9,2.4,7.73,2414,8886.0,4,3
69632546,"18156 Frankford Lakes Cir, Dallas, TX 75252",509000,3.17,1.8,1.3,5.43,1764,2178.0,2,3
96520726,"2823 Colt Ln, Dallas, TX 75237",259999,4.66,4.15,2.36,7.56,1178,5183.0,3,2
55172654,"2544 Sundance Ln, Dallas, TX 75287",339000,0.0,0.0,0.0,0.0,1403,5662.0,3,2
26905381,"5728 Russcrest Dr, Dallas, TX 75227",280000,0.0,0.0,0.0,0.0,1472,7710.0,2,2
26907675,"9487 Olde Towne Row, Dallas, TX 75227",115000,0.0,0.0,0.0,0.0,870,1437.0,1,2
96498955,"5320 Eagle Heights Dr, Dallas, TX 75212",289000,0.0,0.0,0.0,0.0,1136,5270.0,3,2
53096109,"18215 Meandering Way, Dallas, TX 75252",560000,0.0,0.0,0.0,0.0,2564,6534.0,3,3
26586269,"4118 Brooktree Ln, Dallas, TX 75287",450000,0.0,0.0,0.0,0.0,2022,7840.0,3,3
26593019,"7335 Williamswood Dr, Dallas, TX 75252",720000,0.0,0.0,0.0,0.0,2593,0.0,4,3
122301054,"815 Ranch Rd, Dallas, TX 75253",300000,0.0,0.0,0.0,0.0,1689,7623.0,4,2
26891609,"7634 Ashcrest Ln, Dallas, TX 75249",299900,0.0,0.0,0.0,0.0,1772,7623.0,3,2
26712095,"507 S Marlborough Ave, Dallas, TX 75208",695000,0.0,0.0,0.0,0.0,2486,7623.0,4,3
26637892,"18516 Shelton Way, Dallas, TX 75252",550000,0.0,0.0,0.0,0.0,2344,5227.0,4,3
96519376,"3724 Vineyard Dr, Dallas, TX 75212",375000,0.0,0.0,0.0,0.0,1723,6969.0,3,2
27291929,"18060 Kelly Blvd, Dallas, TX 75287",400000,0.0,0.0,0.0,0.0,1414,6534.0,3,2
67963226,"615 S Acres Dr, Dallas, TX 75217",283000,0.0,0.0,0.0,0.0,1842,10558.0,4,2
69676370,"13208 Pine Valley Dr, Dallas, TX 75253",230000,0.0,0.0,0.0,0.0,1317,5009.0,3,2
